name,trained_model_name,base_model,num_beams,max_length,length_penalty,early_stopping,no_repeat_ngram_size,rouge1,rouge2,bertscore_precision,bertscore_recall,bertscore_f1,note
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,5,196,1.1,FALSE,2,"Score(precision=0.18486207671481836, recall=0.2765031299067633, fmeasure=0.2082801446426441)","Score(precision=0.027557658280953513, recall=0.049887385848648394, fmeasure=0.033325632081425666)",0.85000658,0.84687674,0.848206997,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,5,196,1.25,FALSE,2,"Score(precision=0.15543950296687803, recall=0.35821430968087054, fmeasure=0.19649970250064464)","Score(precision=0.02729086931081396, recall=0.0797539231611108, fmeasure=0.036723582288126944)",0.840477467,0.849441826,0.844664395,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,5,196,1.5,FALSE,2,"Score(precision=0.1310357299926563, recall=0.4405173556101296, fmeasure=0.1938327524206441)","Score(precision=0.021558775423598926, recall=0.09110696487856365, fmeasure=0.03344664308358995)",0.834540844,0.850414276,0.842168927,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,6,196,1.1,FALSE,2,"Score(precision=0.20162230530457179, recall=0.262107543842, fmeasure=0.2111369942493866)","Score(precision=0.01753968253968254, recall=0.02526784868536787, fmeasure=0.019508688188526538)",0.843832135,0.847212791,0.845205665,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,6,196,1.25,FALSE,2,"Score(precision=0.16031562719875447, recall=0.3050959526521121, fmeasure=0.19660636423142028)","Score(precision=0.016169569108328286, recall=0.03238626368421765, fmeasure=0.020467542288786396)",0.83675468,0.846378684,0.841254413,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
e_lm_longformer_8k_abstr,large led 8K configuration with 2200 steps 1.77 epochs,allenai/led-large-16384,6,196,1.5,FALSE,2,"Score(precision=0.12955321582017637, recall=0.3851771671852987, fmeasure=0.1808699198056492)","Score(precision=0.019415867777751304, recall=0.06089454618706332, fmeasure=0.02786853588825986)",0.827148318,0.847648799,0.836962998,"using Bert Score for final model tuning, e_lm_longformer_8k_abstr at 2200 steps, length penalty between 1.10 and 1.75"
